,researchExp,industryExp,internExp,greV,greQ,journalPubs,confPubs,univName,year,targetRank,admit
276,0,0,0.0,142.0,161.0,0,0,Wayne State University,2015,150,1
277,0,0,0.0,146.0,161.0,0,0,Wayne State University,2015,150,1
278,0,0,0.0,142.0,157.0,0,0,Wayne State University,2011,150,1
279,0,0,0.0,150.0,158.0,0,0,Wayne State University,2014,150,1
281,0,0,0.0,146.0,160.0,0,0,Wayne State University,2014,150,1
282,0,0,0.0,144.0,144.0,0,0,Wayne State University,2013,150,1
283,0,0,0.0,146.0,155.0,0,0,Wayne State University,2013,150,1
284,0,0,0.0,170.0,166.0,0,0,Wayne State University,2006,150,1
285,0,0,0.0,143.0,163.0,0,0,Wayne State University,2012,150,1
286,0,0,0.0,149.0,153.0,0,0,Wayne State University,2014,150,1
287,0,0,0.0,158.0,154.0,0,0,Wayne State University,2012,150,1
288,0,0,0.0,146.0,157.0,0,0,Wayne State University,2014,150,1
289,0,49,0.0,138.0,152.0,0,0,Wayne State University,2014,150,1
290,0,0,0.0,139.0,156.0,0,0,Wayne State University,2015,150,1
291,0,0,0.0,145.0,151.0,0,0,Wayne State University,2014,150,1
292,0,0,0.0,146.0,147.0,0,0,Wayne State University,2014,150,1
293,0,0,0.0,149.0,157.0,0,0,Wayne State University,2014,150,1
294,0,0,0.0,145.0,159.0,0,0,Wayne State University,2013,150,1
295,0,0,0.0,147.0,158.0,0,0,Wayne State University,2013,150,1
296,0,0,0.0,144.0,160.0,0,0,Wayne State University,2015,150,1
297,0,0,0.0,146.0,161.0,0,0,Wayne State University,2014,150,1
298,0,0,0.0,144.0,153.0,0,0,Wayne State University,2013,150,1
299,0,0,0.0,154.0,161.0,0,0,Wayne State University,2012,150,1
300,0,32,0.0,142.0,162.0,0,0,Wayne State University,2016,150,1
301,0,0,0.0,151.0,160.0,0,0,Wayne State University,2016,150,1
302,0,0,2.0,144.0,156.0,0,1,Wayne State University,2016,150,1
303,0,0,0.0,146.0,150.0,0,0,Wayne State University,2014,150,1
304,0,33,3.0,153.0,163.0,0,0,Wayne State University,2015,150,1
305,0,0,0.0,156.0,152.0,0,0,Wayne State University,2012,150,1
306,0,0,0.0,147.0,150.0,0,0,Wayne State University,2013,150,1
307,0,38,0.0,143.0,155.0,0,0,Wayne State University,2016,150,1
309,0,0,0.0,149.0,158.0,0,0,Wayne State University,2014,150,1
310,0,0,0.0,149.0,161.0,0,0,Wayne State University,2015,150,1
311,0,0,0.0,150.0,159.0,0,0,Wayne State University,2013,150,1
312,0,0,0.0,149.0,155.0,0,0,Wayne State University,2013,150,1
313,0,0,0.0,147.0,161.0,0,0,Wayne State University,2012,150,0
314,0,41,0.0,147.0,157.0,0,0,Wayne State University,2015,150,0
315,0,0,0.0,153.0,155.0,0,0,Wayne State University,2012,150,0
316,0,0,0.0,152.0,160.0,0,0,Wayne State University,2012,150,0
318,0,0,0.0,154.0,152.0,0,0,Wayne State University,2011,150,0
319,0,0,0.0,142.0,157.0,0,0,Wayne State University,2006,150,0
320,0,0,6.0,145.0,153.0,0,0,Wayne State University,2015,150,0
321,0,0,0.0,148.0,159.0,0,0,Wayne State University,2013,150,0
322,0,0,0.0,148.0,166.0,0,0,Wayne State University,2014,150,0
323,0,48,0.0,156.0,152.0,0,0,Wayne State University,2015,150,0
324,0,0,0.0,154.0,150.0,0,0,Wayne State University,2011,150,0
325,0,0,0.0,138.0,152.0,0,0,Wayne State University,2015,150,0
326,0,0,0.0,151.0,159.0,0,0,Wayne State University,2014,150,0
327,0,4,2.0,144.0,157.0,0,0,Wayne State University,2014,150,0
328,0,0,0.0,144.0,158.0,0,0,Wayne State University,2014,150,0
329,0,0,0.0,150.0,170.0,0,0,Wayne State University,2014,150,0
330,0,0,0.0,154.0,153.0,0,0,Wayne State University,2011,150,0
331,0,0,0.0,149.0,155.0,0,0,Wayne State University,2011,150,0
332,0,18,3.0,151.0,157.0,0,0,Wayne State University,2015,150,0
333,0,0,14.0,145.0,156.0,0,0,Wayne State University,2015,150,0
334,0,3,3.0,159.0,137.0,0,0,Wayne State University,2014,150,0
335,0,24,0.0,158.0,155.0,0,0,Wayne State University,2014,150,0
336,0,0,0.0,152.0,155.0,0,0,Wayne State University,2011,150,0
337,0,24,2.0,159.0,170.0,0,1,Virginia Polytechnic Institute and State University,2015,29,1
338,0,0,0.0,150.0,167.0,0,2,Virginia Polytechnic Institute and State University,2015,29,1
339,0,0,0.0,154.0,166.0,0,0,Virginia Polytechnic Institute and State University,2011,29,1
340,12,24,4.0,158.0,170.0,1,2,Virginia Polytechnic Institute and State University,2014,29,1
341,0,0,0.0,165.0,164.0,0,0,Virginia Polytechnic Institute and State University,2012,29,1
342,0,0,0.0,162.0,161.0,0,0,Virginia Polytechnic Institute and State University,2012,29,1
343,4,28,0.0,160.0,161.0,0,0,Virginia Polytechnic Institute and State University,2015,29,1
344,0,0,1.0,152.0,161.0,0,0,Virginia Polytechnic Institute and State University,2015,29,1
345,0,27,0.0,154.0,165.0,0,1,Virginia Polytechnic Institute and State University,2016,29,1
346,4,22,4.0,152.0,167.0,0,1,Virginia Polytechnic Institute and State University,2015,29,1
347,0,0,0.0,158.0,170.0,0,0,Virginia Polytechnic Institute and State University,2014,29,1
349,0,0,0.0,159.0,160.0,0,0,Virginia Polytechnic Institute and State University,2012,29,1
350,0,0,2.0,158.0,170.0,0,0,Virginia Polytechnic Institute and State University,2015,29,1
351,0,0,4.0,164.0,163.0,0,2,Virginia Polytechnic Institute and State University,2015,29,1
352,0,0,0.0,167.0,168.0,0,0,Virginia Polytechnic Institute and State University,2014,29,1
353,0,0,0.0,154.0,162.0,0,0,Virginia Polytechnic Institute and State University,2014,29,1
354,0,0,0.0,156.0,166.0,0,0,Virginia Polytechnic Institute and State University,2011,29,1
355,0,0,0.0,162.0,166.0,0,0,Virginia Polytechnic Institute and State University,2012,29,1
356,0,0,0.0,160.0,162.0,0,0,Virginia Polytechnic Institute and State University,2014,29,1
357,0,0,0.0,154.0,158.0,0,0,Virginia Polytechnic Institute and State University,2011,29,1
358,0,0,0.0,163.0,164.0,0,0,Virginia Polytechnic Institute and State University,2012,29,1
359,0,0,0.0,158.0,165.0,0,0,Virginia Polytechnic Institute and State University,2014,29,1
360,0,0,0.0,156.0,163.0,0,0,Virginia Polytechnic Institute and State University,2011,29,1
361,0,0,0.0,154.0,166.0,0,0,Virginia Polytechnic Institute and State University,2011,29,1
362,0,0,0.0,168.0,166.0,0,0,Virginia Polytechnic Institute and State University,2012,29,1
363,0,0,0.0,152.0,165.0,0,0,Virginia Polytechnic Institute and State University,2014,29,1
364,7,0,2.0,163.0,166.0,0,0,Virginia Polytechnic Institute and State University,2015,29,1
365,0,0,0.0,155.0,166.0,0,0,Virginia Polytechnic Institute and State University,2011,29,1
366,0,0,0.0,168.0,166.0,0,0,Virginia Polytechnic Institute and State University,2007,29,1
367,0,0,0.0,161.0,167.0,0,0,Virginia Polytechnic Institute and State University,2014,29,1
